DISTRICT,Sub_dist,Vill_name,latitude,longitude
MULUGU,MANGAPET,Wadagudem,3368735.7043182617,4064904.384812704
MULUGU,MANGAPET,Brahmanapalle,3365463.2704033614,4066711.466732756
MULUGU,MANGAPET,Akinepalle Mallaram,3365273.16696113,4068168.278175053
MULUGU,MANGAPET,Bandarugudem,3363375.597098905,4067277.8967183605
MULUGU,MANGAPET,Cherupalle,3365166.3902512793,4051901.569181499
MULUGU,MULUG,Abbapuram,3366873.175478303,3985292.088539732
MULUGU,TADVAI(SAMMAKKA SARAKKA),Chowled,3362465.744515906,4036324.8175672446
MULUGU,GOVINDARAOPET,Rampur,3367949.386132701,4016966.5827184594
MULUGU,KANNAIGUDEM,Kannaigudem,3403484.7617423586,4037821.8465607315
MULUGU,KANNAIGUDEM,Gurrevula,3405675.4333513402,4038135.151429968
MULUGU,TADVAI(SAMMAKKA SARAKKA),Kalwapalle,3386345.7510925387,4020891.986372542
MULUGU,TADVAI(SAMMAKKA SARAKKA),Bayyakkapet,3385559.8298856043,4013908.2557119145
MULUGU,ETURNAGARAM,Pedda Venkatapur,3378427.8902976657,4041978.4709963333
MULUGU,MANGAPET,Kamalapuram,3377063.5800612494,4049232.1283620945
MULUGU,GOVINDARAOPET,Rangapur,3375403.2407695344,4013934.213526682
MULUGU,ETURNAGARAM,Chalpaka,3392108.499598233,4039141.601314019
MULUGU,WAZEED,Tekulagudem Chak-II,3408285.344492832,4042721.1915742597
MULUGU,WAZEED,Chinnagollagudem (Z),3404265.718450079,4040052.0164498393
MULUGU,WAZEED,Ayyavaripeta (Z),3401504.996681154,4039993.7169054616
MULUGU,VENKATAPURAM,Ramannagudem [Z],3371000.43247477,4067256.2149832114
MULUGU,VENKATAPURAM,Ippagudem [G],3373589.938054896,4064460.7025748147
MULUGU,VENKATAPURAM,Narsireddigudem (G),3374161.9297522753,4060917.3706455305
MULUGU,WAZEED,Rampuram,3403320.8348783557,4040919.2461595507
MULUGU,WAZEED,Padigapuram (Z),3401782.398831401,4049859.1704744226
MULUGU,VENKATAPUR,Ramanujapuram,3379552.0989517714,3991223.864845134
MULUGU,ETURNAGARAM,Papkapuram,3380708.263165772,4046692.0225382447
MULUGU,TADVAI(SAMMAKKA SARAKKA),Vengalapuram,3379810.8509160066,4019960.578200214
MULUGU,ETURNAGARAM,Ramnager (Koyagudem),3381964.197627384,4048558.710379504
MULUGU,ETURNAGARAM,Shapalle,3381620.8292015577,4038480.8913809443
MULUGU,ETURNAGARAM,Ramannagudem,3382775.1091173515,4046475.205777307
MULUGU,MANGAPET,Lodukagudem,3358435.2055584276,4060546.322697424
MULUGU,MANGAPET,Barlagudem,3356109.7133097495,4054962.7775316644
MULUGU,MANGAPET,Gollagudem,3367295.8848477895,4066249.9860849665
MULUGU,MULUG,Mallampalle,3359746.088891822,3984375.9201394957
MULUGU,MULUG,Ankannagudem,3362323.1550067016,4008722.5337737
MULUGU,TADVAI(SAMMAKKA SARAKKA),Bollepalle (P.L),3351308.611031329,4032015.50301711
MULUGU,TADVAI(SAMMAKKA SARAKKA),Narsapur (P.L),3352545.566873976,4035397.872147266
MULUGU,TADVAI(SAMMAKKA SARAKKA),Lingala,3348335.066307968,4031323.6028039763
MULUGU,TADVAI(SAMMAKKA SARAKKA),Alligudem,3354682.2000446375,4034202.361302273
MULUGU,TADVAI(SAMMAKKA SARAKKA),Rangapuram (P.A),3355425.43652966,4047556.771128284
MULUGU,TADVAI(SAMMAKKA SARAKKA),Veerapuram,3355540.3266071486,4045112.5259335437
MULUGU,TADVAI(SAMMAKKA SARAKKA),Pocha Palle,3355426.3473931877,4030323.8005283764
MULUGU,TADVAI(SAMMAKKA SARAKKA),Bittupalle (P.L),3356622.748320736,4026202.431520953
MULUGU,TADVAI(SAMMAKKA SARAKKA),Kousettivai,3360148.061983245,4040566.9920443683
MULUGU,TADVAI(SAMMAKKA SARAKKA),Beerelli,3358582.821896323,4046706.7967439
MULUGU,TADVAI(SAMMAKKA SARAKKA),Bondal,3359347.181512064,4029850.4003774947
MULUGU,MULUG,Sarvapuram,3357900.9099523644,4007744.5731970123
MULUGU,TADVAI(SAMMAKKA SARAKKA),Kamaram (P.A),3359994.4250258747,4046159.1094832686
MULUGU,TADVAI(SAMMAKKA SARAKKA),Ankampalle,3360395.297132343,4042961.1552911405
MULUGU,MULUG,Kothur,3361373.1551232995,4003859.0812422615
MULUGU,TADVAI(SAMMAKKA SARAKKA),Pambapuram,3363094.020179753,4045047.922897316
MULUGU,MULUG,Ramachandrapuram,3359921.3144412464,3990353.464027989
MULUGU,MULUG,Jaggannapet,3363163.948834205,3993759.867602281
MULUGU,MULUG,Pathepalle,3361684.6109367656,3996706.1141990423
MULUGU,TADVAI(SAMMAKKA SARAKKA),Damervai,3365115.8132432033,4044128.611985617
MULUGU,MANGAPET,Pooredipally,3361561.170120942,4055649.623380206
MULUGU,MULUG,Madanapalle,3365305.5717265424,3993404.5477139438
MULUGU,MULUG,Kasimdevipet,3364453.2427111934,4001108.7621986265
MULUGU,GOVINDARAOPET,Karlapalle,3361877.5266205403,4015237.8696883447
MULUGU,MANGAPET,Ramachandrunipet,3363805.8483639667,4064366.221704977
MULUGU,MANGAPET,Narsimhasagar,3364079.3117602197,4053708.0425531627
MULUGU,GOVINDARAOPET,Laknavaram,3367067.5501799867,4013041.1164273056
MULUGU,TADVAI(SAMMAKKA SARAKKA),Chinthalakatapuram,3351969.525372488,4028756.2480531395
MULUGU,TADVAI(SAMMAKKA SARAKKA),Kothagudem (P.L),3355191.6726099425,4049677.0878193583
MULUGU,TADVAI(SAMMAKKA SARAKKA),Katnarsapuram,3362237.614325345,4043013.022694072
MULUGU,TADVAI(SAMMAKKA SARAKKA),Motlagudem,3366957.6060485165,4043669.0340306815
MULUGU,MULUG,Annampalle (D),3367367.895251539,3999890.1740699927
MULUGU,MULUG,Jakaram,3365894.0906302473,3988730.7429299313
MULUGU,MULUG,Mulug,3368108.2529742015,3994186.8918510554
MULUGU,KANNAIGUDEM,Laximpur,3407081.537292596,4038732.9218093306
MULUGU,KANNAIGUDEM,Devadhumla,3408648.8210314624,4040272.9013744844
MULUGU,KANNAIGUDEM,Rajannapet,3408174.8605201156,4037294.9012632947
MULUGU,KANNAIGUDEM,Bhupathipuram,3409104.970095481,4029294.8840889283
MULUGU,KANNAIGUDEM,Gangaram,3412013.400522049,4036882.4025830897
MULUGU,KANNAIGUDEM,Tupakulagudem,3411634.156167825,4039936.4409033037
MULUGU,GOVINDARAOPET,Machchapur,3371503.130045665,4003626.7679385087
MULUGU,MANGAPET,Komatipalle,3367213.430767674,4049182.3520459966
MULUGU,GOVINDARAOPET,Bussapur,3367746.7289581997,4004371.355911483
MULUGU,MULUG,Bandarupalle,3370291.5734548816,3991844.790170931
MULUGU,GOVINDARAOPET,Pasranagaram,3371303.1832688563,4018236.2077594376
MULUGU,MANGAPET,Mallur,3370626.9983269013,4058591.456681518
MULUGU,MANGAPET,Ramanakkapet,3367571.695017553,4061975.2367526894
MULUGU,MANGAPET,Tondyala Laxmipur,3370124.682764043,4046500.2365149623
MULUGU,MANGAPET,Narsapur (Mangapet),3373950.426830822,4054668.7959647845
MULUGU,MANGAPET,Mangapet (Podmur),3374358.9374346994,4051600.209696106
MULUGU,TADVAI(SAMMAKKA SARAKKA),Kamaram (P.T),3375273.0625897855,4028880.527918157
MULUGU,TADVAI(SAMMAKKA SARAKKA),Gonepalle,3375160.30288342,4023387.482354839
MULUGU,VENKATAPUR,Narasapuram,3373470.4079929497,3987926.4484099196
MULUGU,ETURNAGARAM,Malyala,3387455.2900512503,4032263.4671013523
MULUGU,ETURNAGARAM,Eturnagaram,3385479.2023839406,4046529.3384808516
MULUGU,VENKATAPUR,Palampeta,3375585.609327261,3993184.0199462418
MULUGU,GOVINDARAOPET,Chalwai,3373774.43324217,4007806.571234593
MULUGU,VENKATAPUR,Nallagunta,3378034.0844929954,3996966.156373859
MULUGU,VENKATAPUR,Venkatapur,3376141.3395435265,3999731.5054809786
MULUGU,ETURNAGARAM,Gogubelle,3378960.2581803887,4044449.6725649787
MULUGU,GOVINDARAOPET,Motlagudem,3377080.906001258,4018509.5767456503
MULUGU,VENKATAPUR,Laxmidevipeta,3381869.39920489,3996654.500077275
MULUGU,ETURNAGARAM,Akulavari Ghanpur,3383604.1350759673,4042249.1825485257
MULUGU,TADVAI(SAMMAKKA SARAKKA),Narlapur,3382364.9174209507,4021095.293463095
MULUGU,TADVAI(SAMMAKKA SARAKKA),Medaram (Sammakkajatara),3381962.8303268305,4026770.6517014788
MULUGU,TADVAI(SAMMAKKA SARAKKA),Tadvai,3377057.674095216,4033166.6016822723
MULUGU,ETURNAGARAM,Dodla,3387110.2106234976,4034059.2145432173
MULUGU,ETURNAGARAM,Kondai,3388672.667077051,4032666.666054786
MULUGU,TADVAI(SAMMAKKA SARAKKA),Oorattam,3386508.320299639,4025473.326734468
MULUGU,ETURNAGARAM,Roheer,3387527.9412891706,4044821.451609017
MULUGU,KANNAIGUDEM,Kanthanapalle,3394909.821667844,4040873.6317928513
MULUGU,ETURNAGARAM,Rampur Agrahar,3394839.515220064,4045466.552361444
MULUGU,KANNAIGUDEM,Etur,3396967.5508980914,4039779.7402932537
MULUGU,KANNAIGUDEM,Singaram,3397040.1542905415,4037669.865324362
MULUGU,KANNAIGUDEM,Chinthagudem,3399202.577929098,4036693.594452317
MULUGU,KANNAIGUDEM,Sarvai,3400856.289257812,4033387.2007483123
MULUGU,KANNAIGUDEM,Buttaigudem,3401662.832844921,4037136.046473273
MULUGU,KANNAIGUDEM,Chityala,3402861.2179559255,4033522.013249885
MULUGU,ETURNAGARAM,Chinna Venkatapur,3380885.2386874463,4043290.687657617
MULUGU,ETURNAGARAM,Elishettipalle,3391141.0107846125,4037163.2282436034
MULUGU,ETURNAGARAM,Banajibandam,3391753.17231771,4037374.5328337224
MULUGU,KANNAIGUDEM,Kothuru,3401543.957433571,4035011.198604095
HANUMAKONDA,SHAYAMPET,Katrapalle,3361758.415232923,3980507.7744746315
MULUGU,TADVAI(SAMMAKKA SARAKKA),Medaram (D),3385917.4793192754,4025724.6077335803
MULUGU,TADVAI(SAMMAKKA SARAKKA),Kondaparthi,3372631.7712868084,4027888.0875460156
MULUGU,ETURNAGARAM,Kondred,3388400.616760609,4028666.854332232
MULUGU,ETURNAGARAM,Kothagudem,3381553.3222433943,4027322.46760477
NAGARKURNOOL,TADOOR,Parvathayapalle,3194790.231537743,3819811.849701101
NAGARKURNOOL,PENTLAVELLI,Malleswaram,3133672.318546939,3818621.5918493895
NAGARKURNOOL,PENTLAVELLI,Vemkal,3133514.401459833,3817462.30006528
NAGARKURNOOL,NAGARKURNOOL,Chandayapalle,3182821.976021082,3825557.0736813582
NAGARKURNOOL,PEDDAKOTHAPALLY,Rangayapalle,3155387.270576753,3831176.064881192
NAGARKURNOOL,BALMOOR,Jillellapalle,3161385.0161128547,3846263.120253416
BHADRADRI KOTHAGUDEM,PINAPAKA,Veerapuram,3365958.4311658833,4069823.9979027356
BHADRADRI KOTHAGUDEM,KARAKAGUDEM,Bhattupalli,3348994.6312739085,4062074.490619643
WANAPARTHY,PEBBAIR,Thomalapalle,3156680.9561900124,3784487.0013643056
WANAPARTHY,PEBBAIR,Ramammapeta,3153219.5849583666,3781112.948535366
WANAPARTHY,KOTHAKOTA,Pullareddikunta,3163539.0292739053,3779993.2660550745
NALGONDA,VEMULAPALLY,Chalichimalapalem,3242403.2325828704,3956687.1986480146
KHAMMAM,KUSUMANCHI,Eswaramadharam,3256270.0088423993,3989784.307765472
NALGONDA,VEMULAPALLY,Settipalem,3230404.890361074,3952360.290229555
NAGARKURNOOL,PADARA,Gangupenta,3166539.9639037102,3900747.2487380244
BHADRADRI KOTHAGUDEM,BURGAMPAHAD,Mothe (Pattimalluru),3316390.1696583396,4091443.313527967
BHADRADRI KOTHAGUDEM,GUNDALA,Kachanapally,3321305.278767522,4045505.2865111674
BHADRADRI KOTHAGUDEM,DUMMAGUDEM,Ramachandrunipeta,3321126.28845099,4105175.9888905785
BHADRADRI KOTHAGUDEM,DUMMAGUDEM,Bheemavaram,3323639.610387075,4106081.4607644305
BHADRADRI KOTHAGUDEM,DUMMAGUDEM,Kothapalli,3321571.5483334684,4109688.4546191324
BHADRADRI KOTHAGUDEM,DUMMAGUDEM,Gurralabailu,3324166.295188775,4104546.3668455575
BHADRADRI KOTHAGUDEM,DUMMAGUDEM,Jinnagattu,3323387.8065371355,4109971.992392817
BHADRADRI KOTHAGUDEM,CHERLA,Sarangapani (G),3346752.088001729,4092246.9944706345
WANAPARTHY,ATMAKOOR,Arepalle,3159157.8265991798,3773209.044934609
WANAPARTHY,ATMAKOOR,Kathepalle,3159428.143882031,3775608.3410094697
WANAPARTHY,ATMAKOOR,Thoompalle,3157347.8894896656,3776047.838931702
WANAPARTHY,ATMAKOOR,Veeraraghavapur,3158582.279970641,3777731.657413413
WANAPARTHY,ATMAKOOR,Rechintala,3155497.2350076595,3778675.7602295997
WANAPARTHY,PEDDAMANDADI,Mojerla,3178675.7336370107,3785967.546231909
WANAPARTHY,PEDDAMANDADI,Dodgantlapally,3178133.80062031,3795223.7707054913
WANAPARTHY,PANGAL,Kadirepad,3157870.4946463197,3810649.593431037
NAGARKURNOOL,PEDDAKOTHAPALLY,Gorremadugu,3154818.5509073455,3835046.7078510183
NAGARKURNOOL,BALMOOR,Ramagiri,3163047.4980170163,3851011.0982731604
NAGARKURNOOL,ACHAMPET,Singavaram,3182512.959654747,3866822.244999354
NAGARKURNOOL,NAGARKURNOOL,Laxmapuram,3179586.4935705815,3819398.1203913516
NAGARKURNOOL,NAGARKURNOOL,Vallabhampally,3173101.350164351,3816517.3663675473
NAGARKURNOOL,THIMMAJIPET,Thirumalagiri,3200974.0516541633,3806585.49047872
NAGARKURNOOL,BIJINAPALLY,Dharmapur,3180562.071379702,3807119.0874383966
NALGONDA,GUNDLAPALLY,Yerraram,3194231.5954759377,3877166.5998805203
NALGONDA,PEDDA ADESHERLAPALLY,Vankavalyam Pahad,3197622.210873558,3910390.201539803
NALGONDA,GATTUPPAL,Somrajguda,3242319.8715086067,3884452.2791663213
NALGONDA,GATTUPPAL,Anthampet,3243082.429531436,3881640.9892593697
NALGONDA,GATTUPPAL,Theretpalli,3244020.6562706917,3889752.2791216597
NALGONDA,CHINTAPALLI,Anajipur,3212189.4787196172,3873325.0372532764
NALGONDA,MADUGULAPALLY,Bheemanapally,3243272.31437016,3950826.9925667797
NALGONDA,VEMULAPALLY,Kamepally,3236582.299823333,3958278.9562663664
